location_code,branch_code_num,is_public,branch_name,branch_street,branch_city_state
ycml,44,1,,,
yhbsh,45,1,,,
ymhs,46,1,,,
ytaft,47,1,,,
ytma,48,1,,,
ytmah,48,0,,,
an,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
ana,2,1,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anaab,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anaar,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anaat,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anac,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anacy,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anacz,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anad,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anada,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anadc,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anadf,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anadn,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anadt,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anaf,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anafl,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anaho,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anal,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anamg,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
ananf,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anaoo,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anapl,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anar,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anard,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anarf,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anaro,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anase,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anav,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anj,2,1,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anjab,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anjbd,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anjbg,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
anjbi,2,0,Anderson Branch,7450 State Rd.,"Cincinnati, Ohio 45230"
